date,feature_1,1_open_tomorrow,1_open_2tomorrow
2009-12-11,1,10126.6,10053.5
2009-12-14,1,10053.5,10179.3
2009-12-15,1,10179.3,10199.9
2009-12-16,1,10199.9,10110.6
2009-12-17,1,10110.6,10196.7
2009-12-18,1,10196.7,10256.0
2009-12-21,1,10256.0,10413.4
2009-12-22,1,10413.4,10547.0
2009-12-24,1,10547.0,10521.8
2009-12-25,1,10521.8,10611.8
2009-12-28,1,10611.8,10707.5
2009-12-29,1,10707.5,10609.3
2009-12-30,1,10609.3,10719.4
2010-01-04,1,10719.4,10709.5
2010-01-05,1,10709.5,10742.8
2010-01-06,1,10742.8,10743.3
2010-01-07,1,10743.3,10770.3
2010-01-08,1,10770.3,10795.5
2010-01-12,1,10795.5,10778.1
2010-01-13,1,10778.1,10917.4
2010-01-14,1,10917.4,10887.6
2010-01-15,1,10887.6,10866.8
2010-01-18,1,10866.8,10834.9
2010-01-19,1,10834.9,10704.8
2010-01-20,1,10704.8,10740.2
2010-01-21,1,10740.2,10478.3
2010-01-22,1,10478.3,10506.2
2010-01-25,1,10506.2,10344.1
2010-01-26,1,10344.1,10309.7
2010-01-27,1,10309.7,10308.0
2010-01-28,1,10308.0,10212.4
2010-01-29,1,10212.4,10311.0
2010-02-01,1,10311.0,10428.1
2010-02-02,1,10428.1,10434.5
2010-02-03,1,10434.5,10162.3
2010-02-04,1,10162.3,10007.5
2010-02-05,1,10007.5,9876.61
2010-02-08,1,9876.61,10024.3
2010-02-09,1,10024.3,10085.3
2010-02-10,1,10085.3,10097.8
2010-02-12,1,10097.8,10044.5
2010-02-15,1,10044.5,10161.7
2010-02-16,1,10161.7,10325.0
2010-02-17,1,10325.0,10334.4
2010-02-18,1,10334.4,10302.1
2010-02-19,1,10302.1,10327.6
2010-02-22,1,10327.6,10205.2
2010-02-23,1,10205.2,10256.1
2010-02-24,1,10256.1,10107.1
2010-02-25,1,10107.1,10128.7
2010-02-26,1,10128.7,10199.2
2010-03-01,1,10199.2,10194.0
2010-03-02,1,10194.0,10255.7
2010-03-03,1,10255.7,10254.6
2010-03-04,1,10254.6,10538.1
2010-03-05,1,10538.1,10567.3
2010-03-08,1,10567.3,10555.8
2010-03-09,1,10555.8,10628.0
2010-03-10,1,10628.0,10777.5
2010-03-11,1,10777.5,10802.1
2010-03-12,1,10802.1,10718.6
2010-03-15,1,10718.6,10789.2
2010-03-16,1,10789.2,10841.7
2010-03-17,1,10841.7,10785.9
2010-03-18,1,10785.9,10793.0
2010-03-19,1,10793.0,10829.4
2010-03-23,1,10829.4,10857.8
2010-03-24,1,10857.8,10895.3
2010-03-25,1,10895.3,10910.0
2010-03-26,1,10910.0,11022.2
2010-03-29,1,11022.2,11138.7
2010-03-30,1,11138.7,11178.9
2010-03-31,1,11178.9,11274.2
2010-04-01,1,11274.2,11380.6
2010-04-02,1,11380.6,11350.7
2010-04-05,1,11350.7,11296.3
2010-04-06,1,11296.3,11179.7
2010-04-07,1,11179.7,11174.6
2010-04-08,1,11174.6,11300.8
2010-04-09,1,11300.8,11202.9
2010-04-12,1,11202.9,11213.5
2010-04-13,1,11213.5,11310.1
2010-04-14,1,11310.1,11230.5
2010-04-15,1,11230.5,10929.6
2010-04-16,1,10929.6,10960.1
2010-04-19,1,10960.1,11031.8
2010-04-20,1,11031.8,10988.0
2010-04-21,1,10988.0,10930.9
2010-04-22,1,10930.9,11039.6
2010-04-23,1,11039.6,11109.3
2010-04-26,1,11109.3,11005.5
2010-04-27,1,11005.5,11062.1
2010-04-28,1,11062.1,10847.9
2010-04-30,1,10847.9,10472.7
2010-05-06,1,10472.7,10399.0
2010-05-07,1,10399.0,10643.2
2010-05-10,1,10643.2,10465.0
2010-05-11,1,10465.0,10542.8
2010-05-12,1,10542.8,10453.4
2010-05-13,1,10453.4,10329.4
2010-05-14,1,10329.4,10313.1
2010-05-17,1,10313.1,10087.3
2010-05-18,1,10087.3,10121.8
2010-05-19,1,10121.8,9823.84
2010-05-20,1,9823.84,9754.99
2010-05-21,1,9754.99,9632.14
2010-05-24,1,9632.14,9567.35
2010-05-25,1,9567.35,9419.3
2010-05-26,1,9419.3,9806.06
2010-05-27,1,9806.06,9735.47
2010-05-28,1,9735.47,9747.26
2010-05-31,1,9747.26,9604.45
2010-06-01,1,9604.45,9758.82
2010-06-02,1,9758.82,9909.24
2010-06-03,1,9909.24,9705.36
2010-06-04,1,9705.36,9448.79
2010-06-07,1,9448.79,9475.57
2010-06-08,1,9475.57,9476.78
2010-06-09,1,9476.78,9701.32
2010-06-10,1,9701.32,9824.93
2010-06-11,1,9824.93,9845.65
2010-06-14,1,9845.65,10043.1
2010-06-15,1,10043.1,10009.2
2010-06-16,1,10009.2,10028.0
2010-06-17,1,10028.0,10109.3
2010-06-18,1,10109.3,10131.9
